"year","month","NSWMetro","NSWNthCo","NSWSthCo","NSWSthIn","NSWNthIn"
"2011","01",7.5974675006,8.2975316058,4.553495719,2.2222617583,2.5283720409
"2011","04",5.8159295915,6.0036093396,2.2106994555,2.0874703124,3.0034454287
"2011","07",6.1832387666,5.0430165599,1.9718814369,3.3679050723,2.9326568968
"2011","10",5.9290301327,6.1416923945,1.9905918267,2.1672175206,2.8400028582
"2012","01",7.9869310625,8.2306579564,4.5478329954,2.0962836495,2.8631534243
"2012","04",5.3078709729,5.2153094043,2.2162563298,2.3219558624,3.3449713652
"2012","07",6.0541116938,5.6805821001,1.4635971793,2.5347282122,2.8339606021
"2012","10",6.0238968728,6.8185129932,2.3033887414,2.4248361161,3.2558814566
"2013","01",7.0284801217,7.7642699323,5.0277673373,2.9565868646,3.4431752167
"2013","04",5.8134500297,5.2726028288,2.3318583286,2.2388514081,2.9518076474
"2013","07",6.3228414263,5.2543575449,2.0278621661,2.7113736671,2.8308045768
"2013","10",7.1016905301,6.5219791206,2.7692486992,2.3293020431,2.6020722877
"2014","01",7.8973159874,8.5634743312,4.2093004592,2.7311911395,2.5819996133
"2014","04",5.9974675568,6.0059107861,2.4004955828,2.6856321538,2.868704147
"2014","07",6.0335328619,5.8468729335,1.6623378486,2.8962982354,2.948054131
"2014","10",7.1033975236,5.7902886435,2.8313549748,2.4005822718,3.7548553579
"2015","01",8.7251316209,7.8757250582,4.8117832296,2.4598219704,2.7188231247
"2015","04",6.9958746449,6.021249171,2.7661029166,2.2109626289,3.4451206746
"2015","07",6.294489763,5.4864287051,2.0975442689,3.0797256992,2.8776987027
"2015","10",6.9454763386,6.8181651733,2.5614404583,2.6308741812,3.7760766923
"2016","01",7.3737573472,9.9454150882,4.7891942037,2.7678529688,2.8713755134
"2016","04",6.7922336825,6.6640993605,2.3202285337,2.6913646789,3.9284621831
"2016","07",6.5305680256,5.9784578276,1.6510912338,3.2695653975,3.5144310073
"2016","10",7.8782768422,7.3620449339,2.713210265,2.7393918013,3.4907209024
